AB,ST,EHG,AP,CHCH,CIM,PCI,EST,LC,FA,CHC,CHH,COND,CECN,SEP,Tipo falla
S4,S4,S4,S3,S4,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0,6
S2,S1,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S5,S5,S3,S5,S5,S5,S5,S5,S5,S4,S5,S5,S5,S5,S5,6
S3,S5,S4,S5,S5,S5,S5,S4,S4,S4,S3,S4,S5,S4,S5,1
S3,S4,S4,S5,S5,S5,S5,S4,S4,S4,S3,S4,S5,S4,S5,1
S3,S3,S3,S5,S5,S4,S5,S3,S3,S5,S3,S4,S5,S4,S5,1
S5,S5,S4,S5,S4,S4,S5,S3,S5,S5,S4,S5,S5,S5,S5,14
S4,S4,S4,S3,S4,S3,S5,S3,S5,S4,S5,S5,S5,S5,S0,1
S4,S3,S3,S5,S5,S4,S5,S3,S5,S5,S3,S4,S5,S4,S5,1
S3,S3,S3,S3,S5,S4,S5,S5,S4,S4,S5,S5,S4,S4,S0,1
S4,S3,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0,10
S2,S0,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S4,S3,S3,S3,S4,S5,S4,S4,S3,S4,S5,S5,S4,S4,S0,1
S2,S1,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S4,S3,S3,S5,S5,S4,S5,S3,S3,S5,S3,S4,S5,S4,S5,1
S5,S4,S5,S5,S4,S5,S5,S4,S5,S5,S4,S5,S5,S5,S5,1
S4,S3,S5,S5,S4,S5,S5,S5,S4,S5,S3,S3,S5,S5,S0,1
S3,S4,S3,S3,S3,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0,10
S2,S1,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S4,S3,S3,S5,S5,S4,S5,S3,S3,S5,S3,S4,S5,S4,S5,1
S3,S3,S3,S5,S4,S4,S5,S4,S4,S4,S3,S4,S5,S4,S5,6
S4,S4,S4,S3,S4,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0,6
S4,S3,S3,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0,1
S4,S4,S4,S3,S4,S5,S5,S4,S5,S5,S5,S5,S5,S5,S0,1
S2,S1,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S3,S4,S4,S3,S4,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0,10
S2,S1,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S2,S1,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S5,S4,S5,S5,S4,S4,S5,S4,S4,S5,S4,S4,S5,S4,S0,1
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,1
S4,S3,S5,S3,S4,S4,S5,S4,S3,S4,S4,S4,S3,S4,S0,6
S4,S4,S4,S3,S4,S5,S5,S4,S4,S5,S4,S4,S3,S4,S0,5
S5,S5,S4,S5,S4,S4,S5,S3,S5,S5,S4,S5,S5,S5,S5,14
S5,S3,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,1
S4,S4,S3,S3,S3,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0,10
S3,S3,S3,S5,S4,S4,S5,S4,S4,S4,S3,S4,S5,S4,S5,6
S2,S0,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S4,S3,S3,S5,S5,S4,S5,S3,S3,S5,S3,S4,S5,S4,S5,1
S4,S3,S3,S5,S5,S4,S5,S3,S3,S5,S3,S4,S5,S4,S5,1
S5,S5,S5,S5,S5,S5,S5,S5,S3,S4,S5,S5,S5,S5,S5,10
S4,S4,S5,S5,S4,S5,S5,S4,S5,S5,S3,S5,S5,S5,S5,1
S4,S4,S5,S3,S4,S4,S5,S5,S4,S5,S5,S5,S4,S4,S0,1
S5,S4,S1,S5,S4,S0,S5,S1,S4,S5,S2,S4,S5,S5,S5,1
S4,S3,S4,S3,S5,S5,S3,S3,S5,S5,S5,S4,S4,S5,S0,10
S5,S4,S1,S5,S4,S0,S5,S1,S4,S5,S2,S4,S5,S5,S5,5
S4,S3,S4,S3,S4,S4,S4,S5,S5,S5,S5,S5,S4,S5,S0,6
S5,S3,S4,S3,S4,S5,S4,S3,S5,S5,S4,S5,S5,S4,S0,3
S4,S3,S4,S3,S5,S4,S5,S4,S3,S4,S4,S4,S3,S4,S0,10
S2,S0,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S4,S2,S4,S3,S4,S4,S5,S5,S3,S4,S4,S4,S5,S5,S0,6
S5,S3,S5,S3,S3,S4,S3,S3,S5,S5,S4,S5,S4,S4,S0,5
S5,S3,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,1
S3,S5,S5,S3,S5,S4,S5,S5,S5,S4,S5,S5,S5,S5,S0,1
S3,S2,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0,6
S2,S0,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S3,S3,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0,1
S4,S2,S4,S3,S4,S3,S4,S4,S5,S5,S4,S5,S3,S4,S0,1
S5,S4,S1,S5,S4,S0,S5,S1,S4,S5,S2,S4,S5,S5,S5,1
S2,S1,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S3,S4,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0,6
S2,S0,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S3,S4,S4,S3,S4,S3,S5,S4,S5,S0,S5,S5,S5,S5,S0,10
S3,S5,S4,S5,S5,S5,S5,S4,S4,S4,S3,S4,S5,S4,S5,1
S3,S4,S4,S3,S5,S4,S5,S5,S3,S5,S5,S5,S4,S4,S0,1
S2,S1,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S4,S3,S4,S3,S4,S5,S5,S4,S4,S4,S5,S5,S5,S5,S0,3
S4,S3,S5,S3,S5,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0,1
S3,S3,S3,S5,S4,S4,S5,S4,S4,S4,S3,S4,S5,S4,S5,1
S4,S4,S5,S3,S4,S4,S5,S5,S4,S5,S5,S5,S4,S4,S0,1
S4,S3,S3,S5,S5,S4,S5,S3,S5,S5,S3,S4,S5,S4,S5,1
S5,S4,S5,S5,S4,S5,S5,S4,S5,S5,S4,S5,S5,S5,S5,3
S2,S1,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S2,S0,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S5,S5,S4,S5,S4,S4,S5,S3,S5,S5,S4,S5,S5,S5,S5,1
S2,S0,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S2,S0,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S5,S4,S1,S5,S4,S0,S5,S1,S4,S5,S2,S4,S5,S5,S5,1
S4,S4,S4,S3,S4,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0,10
S3,S2,S4,S3,S4,S4,S5,S5,S4,S5,S4,S4,S5,S5,S0,1
S2,S1,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S5,S3,S4,S3,S3,S4,S4,S5,S5,S5,S5,S5,S4,S5,S0,1
S4,S4,S4,S3,S4,S4,S5,S4,S5,S5,S5,S5,S5,S5,S0,1
S3,S3,S3,S5,S4,S4,S5,S4,S4,S4,S3,S4,S5,S4,S5,1
S4,S3,S3,S3,S3,S4,S4,S5,S5,S5,S5,S5,S4,S5,S0,1
S5,S3,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,1
S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,1
S5,S4,S1,S5,S4,S0,S5,S1,S4,S5,S2,S4,S5,S5,S5,1
S2,S0,S4,S5,S4,S3,S5,S3,S3,S5,S3,S3,S5,S4,S5,1
S3,S5,S4,S5,S5,S5,S5,S4,S4,S4,S3,S4,S5,S4,S5,1
S4,S3,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S4,S5,S0,1
S5,S2,S5,S3,S4,S5,S4,S3,S5,S5,S5,S5,S4,S4,S0,6
S4,S3,S3,S3,S5,S4,S4,S5,S4,S5,S4,S4,S5,S5,S0,10
S3,S3,S3,S5,S5,S4,S5,S3,S3,S5,S3,S4,S5,S4,S5,1
S4,S2,S5,S5,S4,S5,S5,S4,S5,S5,S3,S5,S5,S5,S5,1
