AB,ST,EHG,AP,CHCH,CIM,PCI,EST,LC,FA,CHC,CHH,COND,CECN,SEP
S4,S4,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S3,S4,S3,S3,S3,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S4,S4,S3,S4,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S3,S5,S0,S4,S5,S5,S5,S4,S4,S4,S4,S5,S5,S0
S4,S3,S4,S3,S3,S5,S3,S3,S5,S4,S5,S4,S5,S5,S0
S5,S3,S5,S3,S3,S5,S4,S3,S5,S5,S3,S5,S4,S4,S0
S4,S3,S3,S3,S4,S5,S5,S4,S3,S4,S5,S5,S4,S4,S0
S4,S2,S5,S3,S4,S4,S5,S3,S5,S5,S4,S5,S4,S4,S0
S4,S3,S3,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S4,S4,S3,S5,S4,S5,S5,S4,S4,S3,S3,S5,S5,S0
S4,S3,S4,S3,S4,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S5,S5,S3,S5,S5,S5,S5,S5,S5,S5,S5,S5,S5,S0
S4,S3,S4,S3,S4,S5,S4,S3,S5,S4,S5,S4,S4,S5,S0
S3,S3,S3,S3,S5,S4,S5,S4,S3,S5,S5,S5,S4,S4,S0
S5,S4,S5,S3,S5,S4,S5,S5,S3,S4,S4,S4,S5,S4,S0
S4,S3,S4,S3,S4,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S3,S4,S3,S5,S5,S3,S3,S5,S5,S5,S4,S4,S5,S0
S3,S3,S4,S3,S4,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S4,S5,S4,S3,S5,S5,S4,S4,S5,S3,S0
S5,S3,S5,S3,S3,S4,S4,S3,S5,S5,S4,S5,S4,S3,S0
S3,S3,S4,S3,S4,S5,S5,S4,S3,S4,S3,S3,S5,S5,S0
S3,S4,S4,S3,S4,S5,S5,S4,S3,S5,S4,S4,S3,S4,S0
S5,S3,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S4,S5,S0
S3,S3,S4,S3,S4,S3,S5,S3,S4,S5,S5,S5,S5,S5,S0
S4,S5,S3,S3,S4,S4,S5,S4,S3,S5,S5,S5,S5,S5,S0
S4,S4,S4,S3,S4,S5,S5,S4,S3,S4,S5,S5,S4,S4,S0
S3,S4,S4,S3,S4,S4,S5,S4,S4,S5,S5,S5,S5,S5,S0
S3,S3,S4,S3,S4,S3,S5,S3,S5,S4,S5,S5,S5,S5,S0
S3,S4,S5,S3,S5,S4,S5,S5,S4,S5,S4,S4,S5,S5,S0
S4,S5,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S4,S3,S4,S3,S5,S3,S5,S4,S5,S5,S5,S5,S0
S3,S4,S4,S3,S4,S3,S5,S4,S5,S4,S5,S5,S5,S5,S0
S4,S2,S4,S3,S4,S4,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S2,S5,S0,S5,S3,S5,S3,S4,S5,S5,S5,S5,S5,S0
S4,S3,S5,S0,S4,S5,S5,S5,S3,S5,S3,S3,S5,S5,S0
S4,S3,S4,S3,S4,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S4,S4,S5,S4,S5,S5,S4,S4,S4,S4,S0
S4,S5,S3,S3,S5,S5,S5,S4,S3,S5,S3,S3,S5,S5,S0
S4,S3,S4,S3,S4,S5,S4,S5,S5,S5,S5,S5,S4,S4,S0
S3,S4,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S5,S5,S4,S4,S5,S5,S4,S4,S4,S4,S0
S5,S3,S4,S3,S4,S5,S4,S3,S5,S5,S4,S5,S5,S4,S0
S4,S3,S4,S3,S3,S4,S5,S4,S5,S5,S3,S4,S4,S5,S0
S4,S3,S5,S3,S5,S4,S5,S3,S5,S3,S5,S5,S5,S5,S0
S5,S2,S5,S3,S4,S5,S5,S3,S5,S5,S5,S5,S3,S4,S0
S4,S3,S3,S3,S3,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S2,S5,S3,S5,S3,S5,S3,S4,S5,S5,S5,S5,S5,S0
S4,S2,S3,S3,S4,S5,S5,S5,S4,S4,S4,S4,S5,S3,S0
S4,S3,S5,S3,S4,S5,S5,S3,S5,S5,S5,S5,S5,S4,S0
S4,S3,S5,S3,S4,S5,S4,S3,S5,S5,S5,S4,S5,S5,S0
S4,S3,S4,S3,S4,S5,S5,S4,S3,S5,S5,S5,S4,S5,S0
S4,S3,S4,S3,S3,S4,S4,S4,S5,S5,S3,S5,S3,S3,S0
S4,S3,S5,S3,S5,S4,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S4,S3,S5,S4,S4,S5,S5,S5,S4,S4,S4,S3,S0
S5,S3,S5,S3,S4,S5,S4,S3,S5,S5,S5,S5,S4,S4,S0
S4,S4,S5,S3,S4,S4,S5,S4,S4,S4,S5,S5,S5,S5,S0
S3,S4,S5,S3,S5,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S3,S4,S4,S3,S4,S5,S5,S4,S4,S5,S5,S5,S4,S4,S0
S4,S3,S4,S3,S4,S5,S4,S3,S5,S5,S3,S4,S4,S4,S0
S4,S3,S5,S3,S4,S5,S4,S3,S5,S5,S5,S4,S5,S4,S0
S5,S4,S5,S3,S5,S4,S5,S4,S4,S5,S4,S4,S4,S4,S0
S4,S4,S4,S3,S4,S5,S5,S4,S4,S5,S5,S5,S4,S4,S0
S4,S2,S4,S3,S5,S5,S4,S5,S5,S5,S4,S4,S4,S3,S0
S4,S3,S3,S3,S3,S4,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S5,S3,S5,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S3,S5,S3,S5,S4,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S5,S4,S3,S4,S3,S5,S4,S5,S4,S5,S5,S5,S5,S0
S4,S3,S5,S3,S5,S3,S5,S3,S5,S4,S5,S5,S5,S5,S0
S4,S3,S4,S3,S4,S4,S5,S5,S3,S4,S4,S4,S5,S5,S0
S3,S3,S5,S3,S5,S3,S5,S4,S5,S4,S5,S5,S5,S5,S0
S4,S3,S4,S3,S4,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S4,S5,S4,S3,S5,S5,S4,S4,S4,S3,S0
S4,S3,S4,S3,S4,S5,S4,S3,S5,S5,S5,S4,S4,S4,S0
S4,S3,S4,S3,S4,S5,S4,S3,S5,S5,S4,S4,S4,S4,S0
S3,S4,S3,S3,S3,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S2,S4,S3,S4,S4,S4,S3,S5,S5,S4,S5,S4,S4,S0
S4,S3,S3,S3,S4,S5,S5,S4,S4,S5,S5,S5,S5,S5,S0
S4,S3,S3,S3,S4,S4,S4,S4,S4,S4,S5,S5,S5,S5,S0
S3,S3,S5,S3,S5,S4,S5,S4,S4,S5,S5,S5,S5,S5,S0
S4,S4,S5,S3,S4,S4,S5,S4,S3,S5,S5,S5,S4,S4,S0
S4,S3,S5,S3,S5,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S3,S4,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S4,S3,S4,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S3,S3,S3,S3,S3,S4,S5,S4,S4,S5,S5,S5,S5,S5,S0
S4,S3,S5,S3,S5,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S5,S3,S5,S3,S3,S4,S3,S3,S5,S5,S4,S5,S4,S4,S0
S4,S2,S4,S3,S4,S4,S4,S4,S5,S5,S4,S5,S4,S4,S0
S4,S3,S4,S3,S5,S4,S5,S4,S4,S4,S4,S4,S3,S4,S0
S4,S3,S4,S3,S5,S4,S4,S5,S5,S5,S4,S5,S4,S4,S0
S4,S3,S4,S3,S4,S5,S4,S4,S5,S5,S4,S5,S4,S3,S0
S4,S3,S4,S3,S4,S4,S4,S5,S5,S5,S5,S5,S4,S5,S0
S4,S3,S5,S3,S4,S5,S5,S5,S3,S4,S5,S5,S5,S5,S0
S4,S3,S4,S3,S4,S5,S4,S3,S5,S5,S3,S4,S4,S4,S0
S4,S4,S4,S3,S5,S4,S5,S4,S3,S4,S5,S5,S5,S5,S0
S4,S3,S4,S3,S4,S5,S4,S5,S5,S5,S5,S5,S4,S4,S0
S3,S2,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S4,S3,S5,S5,S4,S4,S4,S5,S5,S5,S5,S5,S0
S3,S4,S5,S3,S5,S4,S5,S4,S5,S4,S5,S5,S5,S5,S0
S3,S4,S4,S3,S4,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S2,S3,S0,S3,S3,S5,S3,S4,S4,S5,S5,S5,S5,S0
S3,S2,S5,S3,S5,S5,S5,S3,S5,S5,S5,S5,S4,S5,S0
S3,S4,S4,S3,S4,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S3,S3,S3,S3,S4,S4,S5,S4,S4,S5,S5,S5,S5,S5,S0
S3,S3,S5,S3,S5,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S3,S4,S3,S5,S4,S4,S5,S5,S5,S4,S5,S4,S4,S0
S5,S3,S4,S3,S4,S5,S4,S4,S5,S5,S4,S4,S4,S4,S0
S4,S3,S5,S3,S4,S4,S5,S3,S5,S5,S4,S5,S4,S3,S0
S4,S4,S3,S3,S4,S4,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S5,S3,S4,S5,S4,S3,S5,S5,S5,S4,S5,S5,S0
S4,S3,S3,S3,S4,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S4,S4,S3,S5,S4,S5,S4,S3,S4,S5,S5,S4,S4,S0
S3,S3,S5,S3,S5,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S2,S4,S3,S5,S4,S3,S5,S5,S5,S4,S5,S4,S4,S0
S4,S4,S5,S3,S5,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S4,S4,S3,S4,S3,S5,S3,S4,S5,S5,S5,S5,S5,S0
S3,S5,S3,S3,S5,S5,S5,S5,S4,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S4,S5,S4,S5,S5,S5,S5,S4,S4,S5,S0
S4,S3,S3,S3,S5,S4,S5,S5,S4,S5,S4,S4,S5,S5,S0
S4,S3,S4,S3,S4,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S4,S4,S3,S5,S5,S5,S5,S4,S4,S5,S0
S4,S3,S4,S3,S3,S5,S4,S3,S5,S4,S5,S4,S4,S5,S0
S3,S5,S5,S3,S5,S4,S5,S5,S5,S4,S5,S5,S5,S5,S0
S4,S3,S5,S3,S5,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S5,S3,S5,S0,S4,S5,S4,S3,S5,S5,S5,S3,S4,S3,S0
S5,S3,S4,S3,S5,S3,S5,S5,S5,S4,S4,S4,S3,S4,S0
S4,S3,S3,S3,S3,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S3,S4,S4,S3,S4,S3,S5,S4,S5,S0,S5,S5,S5,S5,S0
S4,S3,S5,S3,S5,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S4,S3,S5,S4,S4,S5,S5,S5,S4,S5,S4,S3,S0
S4,S2,S5,S3,S4,S5,S4,S3,S5,S5,S5,S4,S5,S5,S0
S5,S3,S5,S5,S4,S5,S4,S3,S5,S5,S5,S4,S5,S5,S0
S4,S3,S5,S3,S4,S4,S5,S3,S5,S5,S4,S5,S4,S4,S0
S4,S4,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S2,S4,S3,S4,S3,S4,S5,S5,S5,S4,S5,S4,S4,S0
S4,S3,S5,S3,S4,S5,S5,S4,S4,S5,S5,S5,S4,S5,S0
S3,S3,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S3,S4,S3,S5,S5,S5,S5,S4,S4,S5,S0
S5,S3,S4,S3,S4,S5,S4,S3,S5,S5,S5,S4,S4,S5,S0
S4,S3,S3,S3,S3,S4,S5,S3,S4,S5,S5,S5,S5,S5,S0
S4,S4,S3,S3,S4,S5,S5,S4,S4,S4,S5,S5,S4,S5,S0
S3,S4,S3,S3,S4,S4,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S5,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S5,S2,S4,S3,S4,S5,S4,S5,S5,S5,S5,S4,S4,S5,S0
S4,S3,S5,S3,S4,S4,S5,S3,S5,S4,S5,S5,S4,S4,S0
S4,S3,S5,S0,S4,S5,S5,S5,S3,S4,S4,S4,S5,S5,S0
S3,S4,S4,S3,S4,S3,S5,S4,S5,S4,S5,S5,S5,S5,S0
S3,S3,S3,S3,S5,S5,S5,S4,S4,S4,S5,S5,S4,S4,S0
S4,S3,S4,S3,S5,S4,S5,S4,S3,S4,S5,S5,S4,S4,S0
S4,S3,S5,S3,S4,S4,S5,S5,S4,S4,S5,S5,S4,S4,S0
S3,S4,S3,S3,S5,S4,S4,S4,S4,S4,S4,S4,S5,S5,S0
S3,S3,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S5,S3,S5,S0,S4,S5,S4,S3,S5,S5,S5,S3,S5,S5,S0
S3,S3,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S5,S3,S5,S3,S3,S4,S4,S3,S5,S5,S4,S5,S4,S4,S0
S4,S2,S5,S3,S4,S4,S5,S5,S4,S4,S4,S4,S3,S4,S0
S4,S4,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S4,S4,S3,S4,S5,S5,S5,S3,S4,S5,S5,S5,S5,S0
S4,S3,S5,S3,S5,S3,S5,S3,S4,S5,S5,S5,S5,S5,S0
S3,S5,S3,S3,S4,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S3,S4,S3,S3,S4,S4,S5,S5,S5,S5,S5,S4,S5,S0
S5,S2,S5,S3,S3,S4,S3,S3,S5,S5,S4,S5,S4,S4,S0
S3,S3,S3,S3,S5,S4,S5,S5,S4,S4,S5,S5,S4,S4,S0
S4,S2,S5,S3,S4,S4,S4,S3,S5,S5,S4,S5,S5,S4,S0
S4,S3,S5,S3,S4,S4,S5,S4,S3,S4,S4,S4,S3,S4,S0
S4,S3,S5,S3,S4,S5,S5,S3,S5,S5,S5,S5,S5,S4,S0
S4,S3,S4,S3,S5,S4,S4,S5,S5,S5,S4,S5,S4,S3,S0
S5,S3,S4,S3,S4,S5,S4,S3,S5,S5,S4,S5,S5,S4,S0
S4,S3,S4,S3,S4,S4,S5,S3,S5,S5,S4,S4,S3,S4,S0
S5,S3,S4,S3,S4,S5,S4,S3,S5,S5,S4,S4,S4,S5,S0
S4,S5,S3,S3,S4,S4,S5,S4,S3,S5,S5,S5,S5,S5,S0
S3,S3,S5,S3,S5,S4,S5,S5,S5,S5,S5,S5,S5,S5,S0
S4,S3,S5,S3,S4,S4,S5,S3,S5,S5,S5,S5,S5,S4,S0
S4,S3,S4,S3,S4,S4,S5,S4,S4,S4,S4,S4,S5,S5,S0
S4,S3,S5,S3,S4,S5,S4,S3,S5,S5,S5,S4,S5,S5,S0
S4,S3,S4,S3,S4,S5,S4,S4,S4,S5,S5,S5,S5,S5,S0
S4,S4,S4,S3,S4,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S2,S4,S3,S3,S5,S4,S3,S5,S4,S5,S3,S4,S5,S0
S4,S3,S4,S3,S4,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S3,S3,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S5,S3,S5,S0,S4,S5,S4,S3,S5,S5,S5,S3,S3,S5,S0
S4,S3,S4,S5,S4,S3,S5,S4,S4,S4,S5,S5,S5,S5,S0
S5,S4,S5,S3,S4,S4,S5,S5,S4,S4,S4,S4,S4,S3,S0
S5,S3,S4,S3,S4,S5,S4,S3,S5,S4,S5,S4,S5,S4,S0
S5,S2,S5,S3,S4,S5,S4,S3,S5,S5,S4,S5,S4,S4,S0
S4,S3,S4,S3,S3,S5,S4,S3,S5,S5,S4,S4,S4,S4,S0
S3,S4,S4,S3,S4,S3,S5,S3,S5,S4,S5,S5,S5,S5,S0
S4,S3,S4,S3,S5,S4,S5,S4,S3,S4,S4,S4,S3,S4,S0
S4,S3,S5,S3,S4,S5,S3,S3,S5,S5,S5,S5,S5,S4,S0
S3,S3,S3,S3,S4,S4,S5,S4,S5,S4,S5,S5,S5,S5,S0
S4,S3,S3,S3,S3,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S3,S3,S4,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S2,S3,S3,S4,S4,S5,S4,S5,S4,S5,S5,S5,S5,S0
S3,S3,S5,S3,S4,S5,S5,S4,S4,S5,S3,S3,S5,S5,S0
S3,S4,S5,S3,S5,S3,S5,S3,S4,S4,S5,S5,S5,S5,S0
S4,S3,S3,S3,S3,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S4,S5,S4,S4,S5,S5,S3,S4,S4,S3,S0
S4,S3,S3,S3,S4,S5,S4,S4,S3,S4,S5,S5,S4,S4,S0
S4,S3,S4,S3,S5,S5,S3,S3,S5,S5,S5,S4,S4,S5,S0
S4,S3,S5,S3,S5,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S5,S3,S4,S4,S5,S3,S5,S5,S4,S5,S4,S4,S0
S5,S5,S5,S3,S5,S5,S5,S5,S5,S5,S4,S4,S5,S5,S0
S3,S5,S4,S3,S4,S4,S5,S3,S4,S4,S5,S5,S5,S5,S0
S3,S4,S4,S3,S4,S5,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S3,S3,S3,S4,S4,S5,S5,S5,S5,S5,S4,S5,S0
S4,S3,S4,S3,S4,S4,S4,S4,S5,S5,S4,S5,S4,S4,S0
S4,S3,S5,S3,S4,S5,S4,S3,S5,S5,S3,S4,S3,S4,S0
S3,S3,S5,S3,S5,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S2,S4,S3,S4,S5,S3,S3,S5,S5,S5,S4,S4,S5,S0
S4,S3,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S3,S4,S4,S5,S5,S5,S5,S5,S4,S5,S0
S4,S3,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S4,S5,S0
S4,S3,S4,S3,S4,S4,S5,S4,S4,S5,S4,S4,S5,S3,S0
S3,S3,S4,S3,S4,S5,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S4,S3,S3,S3,S4,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S5,S5,S4,S5,S5,S5,S4,S5,S3,S3,S5,S5,S0
S4,S4,S5,S3,S5,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S3,S4,S3,S4,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S3,S5,S3,S4,S5,S5,S3,S4,S4,S5,S5,S4,S4,S0
S4,S3,S4,S3,S4,S3,S5,S3,S5,S4,S5,S5,S5,S5,S0
S3,S3,S5,S3,S5,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S3,S3,S4,S3,S4,S3,S5,S3,S5,S4,S5,S5,S5,S5,S0
S4,S3,S3,S3,S5,S5,S4,S5,S5,S5,S5,S3,S4,S4,S0
S3,S4,S4,S3,S4,S5,S5,S3,S5,S5,S5,S5,S5,S5,S0
S5,S4,S5,S3,S5,S4,S5,S5,S3,S4,S4,S4,S5,S4,S0
S3,S3,S5,S3,S5,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S4,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S4,S5,S4,S3,S5,S5,S4,S5,S5,S4,S0
S4,S3,S3,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S4,S5,S4,S3,S5,S5,S4,S4,S4,S5,S0
S4,S2,S5,S3,S5,S4,S5,S3,S5,S4,S5,S5,S5,S5,S0
S4,S3,S4,S3,S4,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S3,S4,S5,S3,S5,S5,S4,S5,S4,S4,S0
S5,S3,S4,S3,S4,S5,S4,S3,S5,S5,S4,S4,S5,S3,S0
S3,S2,S5,S3,S5,S5,S5,S3,S4,S5,S5,S5,S4,S4,S0
S4,S3,S5,S3,S5,S4,S5,S5,S3,S5,S4,S4,S5,S3,S0
S4,S4,S4,S3,S4,S5,S5,S4,S4,S5,S5,S5,S4,S4,S0
S4,S2,S5,S3,S4,S4,S5,S3,S5,S5,S4,S5,S4,S3,S0
S4,S4,S4,S3,S5,S4,S5,S5,S5,S4,S5,S5,S5,S5,S0
S4,S2,S5,S3,S4,S4,S5,S3,S5,S5,S4,S5,S4,S4,S0
S3,S2,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S4,S4,S3,S4,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S5,S4,S4,S5,S5,S5,S4,S3,S3,S4,S0
S4,S4,S4,S3,S4,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S4,S4,S3,S4,S5,S5,S4,S4,S5,S4,S4,S3,S4,S0
S5,S3,S4,S3,S5,S4,S5,S5,S5,S5,S4,S4,S4,S4,S0
S3,S3,S5,S3,S5,S4,S5,S3,S5,S5,S5,S5,S5,S5,S0
S5,S3,S4,S3,S4,S5,S4,S4,S5,S5,S5,S4,S4,S5,S0
S4,S4,S4,S3,S4,S3,S5,S3,S5,S4,S5,S5,S5,S5,S0
S4,S3,S5,S3,S5,S3,S5,S3,S5,S5,S5,S5,S5,S5,S0
S4,S4,S5,S3,S5,S4,S5,S3,S5,S4,S5,S5,S5,S5,S0
S3,S2,S4,S3,S4,S4,S5,S5,S4,S5,S4,S4,S5,S5,S0
S5,S3,S4,S3,S3,S3,S5,S3,S5,S5,S5,S5,S3,S5,S0
S3,S3,S4,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S3,S4,S3,S3,S4,S3,S5,S4,S5,S5,S5,S5,S5,S5,S0
S3,S4,S4,S3,S4,S5,S5,S4,S5,S5,S5,S5,S5,S5,S0
S3,S3,S4,S3,S4,S5,S5,S4,S5,S4,S5,S5,S5,S5,S0
S4,S2,S4,S3,S4,S4,S5,S5,S3,S4,S5,S5,S5,S5,S0
S4,S2,S4,S3,S4,S4,S5,S4,S5,S5,S5,S5,S5,S5,S0
S4,S3,S3,S3,S3,S4,S5,S3,S4,S5,S5,S5,S5,S5,S0
S4,S2,S4,S3,S4,S4,S5,S4,S5,S5,S3,S4,S4,S5,S0
S4,S2,S5,S3,S4,S5,S5,S5,S4,S4,S4,S4,S5,S3,S0
S4,S3,S4,S3,S3,S5,S4,S3,S5,S5,S5,S4,S5,S4,S0
S3,S3,S3,S3,S5,S5,S5,S5,S4,S4,S5,S5,S4,S4,S0
